"defend_type	defend_type2 PKMN	Nor	Fir	Wat	Ele	Gra	Ice	Fig	Poi	Gro	Fly	Psy	Bug	Roc	Gho	Dra	Dar	Ste	Fai"
"Normal None	67	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1"
"Normal Fire	2	1	0.5	2	1	0.5	0.5	2	1	2	1	1	0.5	2	0	1	1	0.5	0.5"
"Normal Water	1	1	0.5	0.5	2	2	0.5	2	1	1	1	1	1	1	0	1	1	0.5	1"
"Normal Electric	2	1	1	1	0.5	1	1	2	1	2	0.5	1	1	1	0	1	1	0.5	1"
"Normal Grass	2	1	2	0.5	0.5	0.5	2	2	2	0.5	2	1	2	1	0	1	1	1	1"
"Normal Ice	0	1	2	1	1	1	0.5	4	1	1	1	1	1	2	0	1	1	2	1"
"Normal Fighting	4	1	1	1	1	1	1	2	1	1	2	2	0.5	0.5	0	1	0.5	1	2"
"Normal Poison	0	1	1	1	1	0.5	1	1	0.5	2	1	2	0.5	1	0	1	1	1	0.5"
"Normal Ground	1	1	1	2	0	2	2	2	0.5	1	1	1	1	0.5	0	1	1	1	1"
"Normal Flying	27	1	1	1	2	0.5	2	1	1	0	1	1	0.5	2	0	1	1	1	1"
"Normal Psychic	3	1	1	1	1	1	1	1	1	1	1	0.5	2	1	0	1	2	1	1"
"Normal Bug	0	1	2	1	1	0.5	1	1	1	0.5	2	1	1	2	0	1	1	1	1"
"Normal Rock	0	0.5	0.5	2	1	2	1	4	0.5	2	0.5	1	1	1	0	1	1	2	1"
"Normal Ghost	0	0	1	1	1	1	1	0	0.5	1	1	1	0.5	1	0	1	2	1	1"
"Normal Dragon	1	1	0.5	0.5	0.5	0.5	2	2	1	1	1	1	1	1	0	2	1	1	2"
"Normal Dark	2	1	1	1	1	1	1	4	1	1	1	0	2	1	0	1	0.5	1	2"
"Normal Steel	0	0.5	2	1	1	0.5	0.5	4	0	2	0.5	0.5	0.5	0.5	0	0.5	1	0.5	0.5"
"Normal Fairy	5	1	1	1	1	1	1	1	2	1	1	1	0.5	1	0	0	0.5	2	1"
"Fire None	31	1	0.5	2	1	0.5	0.5	1	1	2	1	1	0.5	2	1	1	1	0.5	0.5"
"Fire Normal	2	1	0.5	2	1	0.5	0.5	2	1	2	1	1	0.5	2	0	1	1	0.5	0.5"
"Fire Water	1	1	0.25	1	2	1	0.25	1	1	2	1	1	0.5	2	1	1	1	0.25	0.5"
"Fire Electric	1	1	0.5	2	0.5	0.5	0.5	1	1	4	0.5	1	0.5	2	1	1	1	0.25	0.5"
"Fire Grass	0	1	1	1	0.5	0.25	1	1	2	1	2	1	1	2	1	1	1	0.5	0.5"
"Fire Ice	0	1	1	2	1	0.5	0.25	2	1	2	1	1	0.5	4	1	1	1	1	0.5"
"Fire Fighting	7	1	0.5	2	1	0.5	0.5	1	1	2	2	2	0.25	1	1	1	0.5	0.5	1"
